"","otu.name","Kingdom","Phylum","Class","Order","Family","Genus","Fungal Guild","Compartment","Time period","Treatment","Network type","Zi","Pi","Hub type"
"1","Bac45","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Leaf","Drought period","Drought","Bac-Bac",1.8298126367785,0.677685950413223,"Connector"
"2","Bac177","Prokaryote","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Leaf","Drought period","Drought","Bac-Bac",2.85202106928053,0.375,"Module hub"
"3","Bac372","Prokaryote","Actinobacteria","ActinobacteriaPH","Solirubrobacterales","SolirubrobacteralesOR","SolirubrobacteralesOR","_","Leaf","Drought period","Drought","Bac-Bac",-0.7319250547114,0.625,"Connector"
"4","Bac201","Prokaryote","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Leaf","Drought period","Drought","Bac-Bac",-0.3659625273557,0.625,"Connector"
"5","Bac235","Prokaryote","Chloroflexi","Thermomicrobia","ThermomicrobiaCL","ThermomicrobiaCL","ThermomicrobiaCL","_","Leaf","Drought period","Drought","Bac-Bac",-0.82915619758885,0.666666666666667,"Connector"
"6","Bac950","Prokaryote","Actinobacteria","ActinobacteriaPH","Solirubrobacterales","SolirubrobacteralesOR","SolirubrobacteralesOR","_","Leaf","Drought period","Drought","Bac-Bac",0,0.625,"Connector"
"7","Bac25","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Leaf","Rewetting period","Drought","Bac-Bac",3.25402961662192,0,"Module hub"
"8","Bac61","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Leaf","Rewetting period","Drought","Bac-Bac",3.25402961662192,0,"Module hub"
"9","Bac3","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Rhizosphere","Drought period","Control","Bac-Bac",2.54663033884723,0,"Module hub"
"10","Bac7","Prokaryote","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Rhizosphere","Drought period","Control","Bac-Bac",2.66835606573553,0,"Module hub"
"11","Bac21","Prokaryote","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Rhizosphere","Drought period","Control","Bac-Bac",2.69331174288018,0.0978980228928199,"Module hub"
"12","Bac17","Prokaryote","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Rhizosphere","Drought period","Control","Bac-Bac",3.5204361539536,0,"Module hub"
"13","Bac25","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Rhizosphere","Drought period","Control","Bac-Bac",2.66835606573553,0,"Module hub"
"14","Bac27","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Rhizosphere","Drought period","Control","Bac-Bac",2.72921892917967,1.11022302462516e-16,"Module hub"
"15","Bac28","Prokaryote","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Rhizosphere","Drought period","Control","Bac-Bac",2.66835606573553,0,"Module hub"
"16","Bac32","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Rhizosphere","Drought period","Control","Bac-Bac",2.54663033884723,0,"Module hub"
"17","Bac35","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Rhizosphere","Drought period","Control","Bac-Bac",2.91180751951212,1.11022302462516e-16,"Module hub"
"18","Bac58","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Rhizosphere","Drought period","Control","Bac-Bac",2.66835606573553,0,"Module hub"
"19","Bac20","Prokaryote","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Rhizosphere","Drought period","Control","Bac-Bac",-0.99973326543198,0.625,"Connector"
"20","Bac76","Prokaryote","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Rhizosphere","Drought period","Control","Bac-Bac",2.54663033884723,0,"Module hub"
